,0%,1%,5%,10%,bucket
0,44878.0,35399.39127,28197.90367,27808.87681,DEQ
1,45768.0,31829.72942,14369.010230000002,18841.6909,LAIVMH
2,80528.0,59971.640020000006,50153.13583,33555.46352,STGRFN
3,43642.0,36039.34709,27277.08781,27101.01449,DEQ
4,98323.0,63613.22351,9940.21114,12906.80585,K
5,64429.0,43856.05522,30097.433360000006,28388.41729,STGRFN
6,160065.0,105581.7026,70627.60727000001,41190.61294,LAIVMH
7,45233.0,32354.46384,24618.53936,24110.55772,STGRFN
8,88152.0,66526.04996,51312.68173,39850.90505,DEQ
9,65289.0,42111.58848,27630.82069,24417.41429,STGRFN
10,94887.0,68349.04338999999,58338.9588,53128.72839,DEQ
11,83194.0,59086.5635,31130.87269,17275.32759,LAIVMH
12,83801.0,53790.04837999999,36924.63654,28848.00475,STGRFN
